,,zoo,heart,lymp,apb,tumor_w_missing,hepatitis_w_missing,audio_w_missing,votes_w_missing
k=2,MIP(1)_obj,272,1185,1199,776,1353,1264,1419,1246
k=2,MIP(1)_gap,0,0,36.94745621,19.71649485,0.88691796,19.62025316,29.88019732,0
k=2,MIP(1)_time,0.039849997,0.17256093,5.632101059,0.04202795,1.189774036,2.083967924,1.640098095,0.298925877
k=2,Error,272,1185,1192,776,1352,1264,1419,1246
k=5,MIP(1)_obj,127,737,988,685,963,1176,1064,782
k=5,MIP(1)_gap,0,67.02849389,100,73.72262774,45.0674974,100,75.84586466,14.1943734
k=5,MIP(1)_time,0.135962248,0.506303072,601.4489169,0.131505013,6.90596199,603.4942899,10.91043711,95.15383768
k=5,Error,126,737,982,684,962,1138,1064,779
k=10,MIP(1)_obj,40,425,728,578,514,950,766,240
k=10,MIP(1)_gap,2.5,100,100,100,100,100,100,25.83333333
k=10,MIP(1)_time,0.159152985,3.069443226,602.6015811,0.151741982,1.180431843,603.7546091,6.723084927,24.07827497
k=10,Error,39,425,728,573,514,907,765,240
