,,zoo,heart,lymp,apb,tumor_w_missing,hepatitis_w_missing,audio_w_missing,votes_w_missing
k=2,MLP(1)_obj,272.0000004,1185,1188.387712,776,1341,1264,1407.5,1246
k=2,MLP(1)_dual,272,1185,756,623,1341,1016,995,1246
k=2,MLP(1)_#cols,65,45,447,11,347,470,275,64
k=2,MLP(1)_time,0.914313316,781.7810597,1200.24334,1200.278112,612.016516,1202.835505,1200.614204,14.05101323
k=5,MLP(1)_obj,127.0000007,737.0000002,911.6190412,683.6428571,942.807733,924.7117914,1039.672211,717.387439
k=5,MLP(1)_dual,127,243,0,180,529,0,257,671
k=5,MLP(1)_#cols,224,191,679,43,746,1322,566,1168
k=5,MLP(1)_time,12.87997389,1200.291791,1200.266353,1200.279551,1201.953198,1201.912942,1201.450934,1205.02887
k=10,MLP(1)_obj,38.75000008,422.8057993,650.2616958,576.0000001,514.0000001,631.7143738,755.2371839,223.2652917
k=10,MLP(1)_dual,39,0,0,0,0,0,0,178
k=10,MLP(1)_#cols,213,682,1121,61,394,1354,658,1168
k=10,MLP(1)_time,44.72369838,1202.51139,1201.167387,1200.285428,1200.341522,1200.88921,1200.665184,1202.636744
