,,zoo,heart,lymp,apb,,,k=2,k=5,k=10
error,k=2,281,1267,1272,808,,zoo,281,140,51
error,k=5,140,782,1103,721,,heart,1267,782,450
error,k=10,51,450,821,617,,lymp,1272,1103,821
time,k=2,0.00326705,0.004398823,0.006618977,0.001842022,,apb,808,721,617
time,k=5,0.002220869,0.005635023,0.009812355,0.006323814,,,,,
time,k=10,0.006865978,0.006761074,0.012351751,0.012714863,,,,,
threshold,k=2,0.5,0.5,0.5,0.6,,,,,
threshold,k=5,0.4,0.5,0.5,0.6,,,,,
threshold,k=10,0.4,0.4,0.5,0.5,,,,,
init,k=2,nndsvda,nndsvda,nndsvd,nndsvda,,,,,
init,k=5,nndsvda,nndsvda,nndsvd,random,,,,,
init,k=10,random,nndsvda,random,nndsvd,,,,,
